id,name,provinceId,number,provinceName,referendums,provinceId_key
d59bf5f3-680f-4e5c-bef2-6b77ce125049,ขอนแก่น เขต 7,40,7,ขอนแก่น,"[{'title': 'เห็นชอบ', 'totalVote': 53863, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 20951, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 6438, 'color': '#94a3b8'}]",40
58c81420-975c-467c-b5b8-f2a22998a1df,ขอนแก่น เขต 8,40,8,ขอนแก่น,"[{'title': 'เห็นชอบ', 'totalVote': 54309, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 23076, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 6965, 'color': '#94a3b8'}]",40
6ee8a5fe-139d-433c-8594-eb67abf12780,ขอนแก่น เขต 9,40,9,ขอนแก่น,"[{'title': 'เห็นชอบ', 'totalVote': 48886, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 18926, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 5141, 'color': '#94a3b8'}]",40
680fb45a-9e44-4f5a-b9ef-d02f7687f6bf,ขอนแก่น เขต 10,40,10,ขอนแก่น,"[{'title': 'เห็นชอบ', 'totalVote': 50400, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 20586, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 5302, 'color': '#94a3b8'}]",40
28a75af1-57c1-4f17-a59c-a42cefb3d70d,ขอนแก่น เขต 11,40,11,ขอนแก่น,"[{'title': 'เห็นชอบ', 'totalVote': 49677, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 22028, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 6510, 'color': '#94a3b8'}]",40
06e62e17-0f36-4e97-b551-044a8d34c757,อุดรธานี เขต 1,41,1,อุดรธานี,"[{'title': 'เห็นชอบ', 'totalVote': 49318, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 19920, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 5428, 'color': '#94a3b8'}]",41
813095a3-86f3-4bf1-80f8-350694014f88,อุดรธานี เขต 2,41,2,อุดรธานี,"[{'title': 'เห็นชอบ', 'totalVote': 42607, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 15037, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 5537, 'color': '#94a3b8'}]",41
5b31e8b8-7cef-474d-b224-fad1906cb528,อุดรธานี เขต 3,41,3,อุดรธานี,"[{'title': 'เห็นชอบ', 'totalVote': 47380, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 17297, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 4910, 'color': '#94a3b8'}]",41
a5b4bf13-8327-49db-a8a8-ee4d77ae03f7,อุดรธานี เขต 4,41,4,อุดรธานี,"[{'title': 'เห็นชอบ', 'totalVote': 44273, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 16116, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 5156, 'color': '#94a3b8'}]",41
dc60247f-892e-4598-bc39-b76b0c71dc34,อุดรธานี เขต 5,41,5,อุดรธานี,"[{'title': 'เห็นชอบ', 'totalVote': 43912, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 15529, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 4875, 'color': '#94a3b8'}]",41
